datetime,headline,summary,source,url
2025-05-06T12:35:52.000Z,"Citi and SDX partner to tokenize traditional private markets","Investment bank Citi and Switzerland’s SIX Digital Exchange (SDX) are teaming up to modernize traditional private markets through tokenization.The initiative, revealed during the Point Zero Forum in Switzerland, will leverage SDX’s blockchain-based Central Securities Depositary (CSD) platform to tokenize, settle, and safekeep assets, according to a May 6 announcement.The platform, expected to go live by the third quarter of 2025, will make late-stage, pre-initial public offering (IPO) equities accessible to institutional and eligible investors globally.For issuers, the project offers a compliant and scalable framework to manage liquidity, particularly for early investors and employees, while maintaining cap table control. For investors, it opens access to high-growth, venture-backed companies in a more efficient and transparent manner.“We are excited to welcome Citi to the SDX platform and together deliver this landmark project in the tokenization of private shares,” said David Newns, head of SDX.Newns added that this will “enable the efficient distribution of shares in mature international private companies, which are expected to generate strong investor interest.”Citi announcing the partnership. Source: CitiRelated: Real-world asset tokenization: Unlocking a new era of financeCiti to provide servicing for tokenized assetsCiti will provide end-to-end servicing for these tokenized assets as the digital custodian and tokenization agent. “We are meeting client demand for access to emerging and relevant digital asset ecosystems and investments,” added Ryan Marsh, head of innovation at Citi.Marni McManus, Citi’s country officer for Switzerland, said private markets represent a major and growing opportunity, helping digitize an industry still reliant on manual processes and paper-based documentation.Citi has been among the earliest major financial institutions to express strong confidence in the future of tokenization, even betting that it would become the next “killer use case” in crypto.In September 2023, Citigroup introduced Citi Token Services, a private, permissioned blockchain that offers cross-border payments, liquidity and automated trade finance solutions to institutional clients.In early 2024, Citigroup teamed up with Ava Labs, other traditional financial institutions and digital asset companies to complete a proof-of-concept for tokenizing private equity funds.Related: $21B tokenized RWA market doubtful, institutions uninterested — Plume CEORWA tokenization gains tractionCiti and SDX’s new initiative comes amid a renewed wave of interest in real-world asset (RWA) tokenization, with major players from both traditional finance and crypto making headlines last week.On April 30, BlackRock filed to create a blockchain-based share class for its $150 billion Treasury Trust Fund, allowing a digital ledger to mirror investor ownership. On the same day, Libre revealed plans to tokenize $500 million in Telegram debt via its new Telegram Bond Fund.The most significant news came from Dubai, where MultiBank Group inked a $3 billion tokenization deal with UAE real estate firm MAG and blockchain provider Mavryk.“The recent surge isn’t arbitrary. It’s happening because everything’s lining up,” Eric Piscini, CEO of Hashgraph, told Cointelegraph:“Rules are getting clearer in major markets. The tech is stronger, faster, and ready to scale. And big players are actually doing it — BlackRock is tokenizing funds, Citi is exploring digital asset custody, and Franklin Templeton has tokenized money market funds on public blockchains.”Magazine: Tokenizing music royalties as NFTs could help the next Taylor Swift",Cointelegraph,https://cointelegraph.com/news/citi-sdx-tokenize-private-markets?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound
2025-05-06T12:30:00.000Z,"Bitcoin risks sub-$92K retest as BTC price fails to match 4% gold gains","Key points:Bitcoin is struggling again as gold retakes the limelight with week-to-date gains of nearly 5%.Bitcoin’s correlation with gold is under scrutiny amid ongoing macroeconomic shifts.Traders see a short-term slump amid a wider BTC price rebound.Bitcoin (BTC) eyed fresh month-to-date lows into the May 6 Wall Street open as “directionless” crypto markets contrasted with a gold rebound.BTC/USD 1-hour chart. Source: Cointelegraph/TradingViewAnalysis: Bitcoin, crypto “largely directionless”Data from Cointelegraph Markets Pro and TradingView showed BTC price momentum stalling at $95,000 before the latest daily close. Inching closer to the key yearly open support level at $93,500, BTC/USD appeared caught in limbo while gold returned to outperform.XAU/USD was up 1.5% on the day at the time of writing, with week-to-date gains already at 4.4%.XAU/USD 1-hour chart. Source: Cointelegraph/TradingView“Crypto implied vols remain suppressed, with front-end skew drifting back toward neutral and spot largely directionless,” trading firm QCP Capital wrote in its latest bulletin to Telegram channel subscribers.QCP noted various swings across the macro spectrum, with the dollar staying lower and emerging market currencies, especially the Taiwanese dollar, surging alongside gold.“At the same time, the FX shakeup coincides with a nearly 3% surge in gold on Monday, as investors lean into the weaker-dollar narrative and price in geopolitical risk premia, including prospective US trade diplomacy,” it continued.With Bitcoin yet to follow suit, QCP saw an “increasingly binary” next phase, with one outcome being that BTC “decouples from gold’s safe haven bid and relinks with broader risk proxies.”In its own analysis, trading resource The Kobeissi Letter nonetheless saw the “first gold, then Bitcoin” narrative sticking.“In April, Bitcoin joined the gold run, increasing correlation for the first time in months. Between April 7th and April 21st, gold surged +15% along with +12% in Bitcoin,” it observed in an X thread on May 5. “The flight to decentralized and inflation-protected assets is strong. Keep watching this trend.”Bitcoin vs. gold comparison. Source: The Kobeissi Letter/XMACD gives BTC bulls pause for thoughtExamining technical data, Bitcoin traders suggested that BTC/USD may be pausing within a broader comeback.Related: Bitcoin eyes gains as macro data makes US recession 2025 ‘base case’Evidence for this came from the moving average convergence/divergence (MACD) indicator, a measure of trend strength that gave conflicting signals on longer and shorter timeframes.#btc weekly MACD about to cross bullishly from a position of strength... pic.twitter.com/x2JjK9rHNW— dave the wave?? (@davthewave) May 6, 2025Popular trader Dave The Wave revealed a bullish signal on the weekly MACD, while daily behavior confirmed a bearish crossing below the zero line.“BTC is consolidating between last week’s high and low, awaiting tomorrow’s FOMC meeting and Jerome Powell’s speech. Meanwhile, the daily MACD is crossing bearish, signaling slowing momentum,” fellow trader Titan of Crypto summarized.BTC/USDT 1-day chart with MACD data. Source: Titan of Crypto/XHis post referred to the week’s key macro event, the meeting of the Federal Reserve to decide on interest rate changes, due on May 7.Earlier, Keith Alan, co-founder of trading resource Material Indicators, warned that the yearly open was unlikely to hold as support.“To summarize, I'll be pleasantly surprised if the YO holds,” he told X followers. “While I'm prepared for a wick to to $88k - $90k range, I think the $91.6k level around the  21 MA is a likely target this week.”BTC/USD 1-week chart with 21SMA. Source: Cointelegraph/TradingViewThis article does not contain investment advice or recommendations. Every investment and trading move involves risk, and readers should conduct their own research when making a decision.",Cointelegraph,https://cointelegraph.com/news/bitcoin-faces-91-6-k-retest-btc-price-fails-match-gold-gains?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound
2025-05-06T12:01:45.000Z,"Bitcoin price forms two BTC futures gaps after Coinbase premium flips negative","Key takeaways: Bitcoin’s Coinbase premium index turned negative for the first time in 15 days, indicating defensive short-term sentiment among US investors.Bitcoin CME futures gaps between support at $92,000-$92,500 and resistance at $96,400-$97,400 suggest a period of range-bound trading. Bitcoin’s Coinbase premium index, which measures the gap between BTC price at Coinbase Pro and Binance exchange, turned negative after a 15-day positive stint, signaling potential bearish sentiment among US investors.This drop coincides with Bitcoin (BTC) slipping below $94,000, and the premium’s decline suggests reduced buying pressure on Coinbase, which is viewed as a proxy for both institutional and retail demand.Bitcoin Coinbase premium. Source: CryptoQuantCointelegraph reported early signs of selling pressure, with Bitcoin recording over $300 million in negative spot cumulative volume delta (CVD) from April 27 to April 29, indicating sustained sell-side activity. Related: Strategy, Semler bag 2K Bitcoin as price edged toward $100K last weekThis selling pressure persisted over the weekend, contributing to the price decline, with anonymous crypto analyst Exitpump noting that Bitfinex whales exhibited significant selling pressure compared to Coinbase and Binance. Additionally, approximately 8,000 BTC in open interest (OI) was removed across futures markets, reflecting reduced leverage. However, recent data shows that the aggregated futures bid-ask delta is turning positive, suggesting potential buying interest in derivatives markets.Bitcoin price, aggregated spot CVD, open interest, and bid-ask delta chart. Source: CoinGlassBitcoin has futures gaps in both directions Bitcoin is at a pivotal juncture, trading around $94,000 between two CME futures gaps. The gaps are between $92,000 and $92,500 from two weeks ago and $96,400 and $97,400 from the recent weekend. CME gaps often act as magnets for price action, with historical trends showing a tendency to fill these gaps in a matter of days. Bitcoin CME gaps analysis. Source: Cointelegraph/TradingViewBitcoin is expected to test at least one gap this week, with a potential drop to $92,000 more likely after Bitcoin failed to hold its position above its 200-day simple moving average (blue line). Bitcoin has lost its position above the 200-day SMA for the first time since April 11, possibly indicating a trend shift in the lower time frame (LTF) chart.However, choppy price action is likely in the short term due to overhead resistance at $97,000-$98,000 (CME gap 1) and key support at $93,000, where multiple liquidity levels are present. Crypto trader UB pointed out several key areas of interest to watch for on X, saying: “Things are fairly clean in terms of key levels. $95.5k & $91.9k. I'm personally not interested in a Bitcoin trade unless price is at one of the levels above. A reclaim of $95.5k would be a clear long to $99.1k.”Related: What will Bitcoin price be if gold hits $5K?This article does not contain investment advice or recommendations. Every investment and trading move involves risk, and readers should conduct their own research when making a decision.",Cointelegraph,https://cointelegraph.com/news/bitcoin-price-btc-futures-gaps-after-coinbase-premium-turns-negative?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound
2025-05-06T11:45:31.000Z,"Blockchains ready for institutions, lawyers hesitate: DoubleZero CEO","While blockchain infrastructure may be ready for institutional use, many legal teams at large firms remain cautious about full integration with the technology. At the Token2049 event in Dubai, DoubleZero Labs founder and former Solana head of strategy Austin Federa told Cointelegraph that today's high-performance blockchains like Solana are technically capable of supporting large-scale institutional usage. However, lawyers still need to catch up. “Most blockchains nowadays, especially things like Solana, are fast enough for institutions to use them,” Federa said. “It’s really more about the institutions and the institution’s lawyers getting comfortable with crypto.”Federa added that institutional lawyers and compliance teams are still addressing regulatory concerns. The executive said this may slow adoption despite the growing regulatory clarity in key markets like the United States. DoubleZero Labs founder Austin Federa. Source: CointelegraphInstitutions are coming; they just move slowAccording to Federa, technical infrastructure is no longer a primary barrier for large firms. Tools needed to support enterprise-scale activity on networks like Solana are already in place:  “Especially on networks like Solana and other fast networks, the infrastructure is there today for high amounts of institutional adoption.”While crypto community members may feel like institutional adoption should be bigger than it is, Federa said that these organizations are not quick at onboarding new technologies.  “Institutions are coming on board, but they just move really slow,” Federa told Cointelegraph. “People expect these massive institutions to move fast, but that’s just not what they’re good at.” Until legal departments are fully satisfied with risk controls and compliance structures, Federa said meaningful adoption may unfold gradually. Related: DoubleZero’s alternative to public internet targets mainnet rollout in H2Institutional involvement in crypto infrastructureFedera also highlighted a growing trend of institutional involvement in the crypto infrastructure space. He said that bare-metal infrastructure providers and venture capital firms have offered financial support and contributed actual fiber infrastructure to DoubleZero. This kind of commitment was almost unthinkable just a few years ago, he said. “Most of those companies two years ago would not have had any interest or thought it was way too legally risky to take something and contribute fiber to it.”Unlike running a validator node, deploying fiber and infrastructure is a major commitment. Federa said that institutional players now allocating serious resources to crypto-native projects reflects a shift in how traditional finance views the sector.Despite this, he acknowledged that while institutional adoption grew, the broader crypto product landscape isn’t fully mature. “The products are not quite there yet for the most part,” Federa said.Magazine: Solana ‘will be a trillion-dollar asset’: Mert Mumtaz, X Hall of Flame",Cointelegraph,https://cointelegraph.com/news/institutional-infrastructure-crypto-austin-federa-doublezero?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound
2025-05-06T11:19:48.000Z,"Research DAO claims paralyzed rats recover after spinal cord fix","Decentralized autonomous organization (DAO) HydraDAO claims that its researchers were able to use a novel technique to repair severed spines in rats.In a May 5 X post, decentralized science (DeSci) project HydraDAO said that one of its research projects resulted in “rats who had their spines fully transected” being able to walk again. More notably, recovery from surgery reportedly only took five days.Source: HydraDAOThe post featured a video of partially shaved (presumably due to surgery) rats walking in what appeared to be a laboratory setting. The effort in question is the Dowell spinal fusogens project led by Michael Lebenstein-Gumovski, which raised 380,700 USDC (USDC) from donors. The dedicated HydraDAO page reads:“The Dowell team submitted a project proposal to HydraDAO. After careful consideration and two peer reviews, HydraCore deems it in the interest of HydraDAO’s community.“Related: Experts to gather in Miami to drive longevity research forwardMore than smoke and mirrors?Fusogens are chemicals capable of fusing cell membranes and have long been researched as a means to reconnect severed nerve fibers. One such chemical is polyethylene glycol (PEG), which was shown to promote membrane fusion and seal axonal membranes in other research.The Dowell team adds a biopolymer from crustacean shells called chitosan, resulting in a PEG-chitosan compound dubbed neuro-PEG. This compound is also photopolymerizable, meaning it can be rapidly solidified using light.This presumably allows for creating a solid scaffolding that can weld the spinal cord more permanently than liquid PEG-based solutions. Dowell also implements neuroprotection techniques such as localized hypothermia and cellular death inhibitors to prevent further damage to nerve tissue. A 2023 research paper by Gumovski published in the peer-reviewed scientific journal Surgical Neurology International claimed that pigs treated with the compound recovered mobility in two months. The study’s conclusion read:“Neuro-PEG affords sensorimotor recovery after complete spinal cord transection. This opens the door to human experimentation, including trials of spinal cord transplantation.“The Dowell team also filed a patent for developed technologies, with a 2022 Russian patent describing a “method of restoring spinal cord functions after transection using a PEG-chitosan conjugate,” listing Lebenstein-Gumovski among its inventors.The HydraDAO proposal suggests that “revenue streams include specialized surgical kits priced between $3,500 and $20,000, depending on the market and region.” Furthermore, the team would also provide “comprehensive training and certification for neurosurgeons and emergency medical services” personnel.Related: Major scientific journal Nature features DeSci project ResearchHubSome interesting connectionsGumovski is a neurosurgery researcher based in Russia (Stavropol State Medical University and affiliated institutes). He was a member of Sergio Canavero’s research head-transplant project, cited in at least one relevant paper.Those articles were also published in Surgical Neurology International, while most top scientific publications shied away from the subject. The neurosurgeon from Turin, Italy, claimed to have performed a successful head transplant on a monkey back in 2016.The team also experimented on human cadavers in preparation for a 2017 live human head transplant, which never took place. Neuroscientist Dean Burnett said at the time that head transplantation presented insurmountable challenges and that Canavero had “offered no feasible explanation or science for his claims to be able to overcome these hurdles.”While the Dowell team’s project builds on established research and should not be dismissed outright, it is hard not to notice the similarity in making public claims not unlike those that characterized Canavero’s career. Furthermore, fusogens are well studied and less dramatic but similar results have been reported by other teams in the past (2019 example from the University of Texas).Will the paralyzed walk again?The evidence provided is promising, but it is advisable to exercise caution, especially until multiple third-party teams independently reproduce the results.HydraDAO promised additional electrophysiology experiments and tracing dyes to assess connectivity between the brain and lower spine. This extra data may enhance the credibility of the research results.Still, further research is needed to assess whether it will result in a clinically viable technique for real-world spinal injuries.Magazine: DeSci: Can crypto improve scientific research?",Cointelegraph,https://cointelegraph.com/news/hydradao-spinal-cord-repair-neuropeg-rats?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound
2025-05-06T11:15:34.000Z,"How much Bitcoin can Berkshire Hathaway buy?","Key takeaways:Berkshire holds $347B in cash, enough to buy ~18% of Bitcoin’s supply.Greg Abel has not signaled a shift from Warren Buffett’s anti-Bitcoin stance.Berkshire already has indirect crypto exposure via Nu Holdings, Jefferies.Warren Buffett announced at Berkshire Hathaway's annual shareholder meeting on May 3 that he will step down as CEO by the end of 2025, with Greg Abel taking over. This transition raises speculation about Berkshire’s financial capacity to purchase Bitcoin (BTC) under the new leadership.Source: Discover CryptoBerkshire can easily surpass Strategy’s BTC stash Berkshire ended Q4 2024 with a record $347 billion in cash and US Treasury bills, representing about 32% of its $1.1 trillion market capitalization. The company could acquire approximately 3.52 million BTC if it purchases the cryptocurrency at May’s approximate price of $95,000. This equates to about 17.88% of Bitcoin’s circulating supply of 19.69 million coins.If the company tapped only its estimated $295.98 billion in US Treasury, it could buy around 3.12 million BTC, or 15.85% of the circulating supply, positioning it as a dominant player in the crypto market.Berkshire Hathaway is 20th Century Bitcoin.— Michael Saylor (@saylor) May 3, 2025Such a move would easily eclipse Nasdaq-listed Strategy Inc. (formerly MicroStrategy), the world’s largest corporate Bitcoin holder, which owns 553,555 BTC worth approximately $52.2 billion as of May 6.In other words, Berkshire can theoretically match Strategy’s stash with roughly one-sixth of its cash pile if it converts it to Bitcoin. Related: Strategy, Semler bag 2K Bitcoin as price edged toward $100K last weekStrategy Inc. Bitcoin holdings over time. Source: BitcoinTeasuries.netBernstein analysts forecast roughly $330 billion in corporate treasury-driven inflows into Bitcoin by 2029, with $205 billion expected from listed companies between 2025 and 2029. Much of this, analysts say, will come from smaller, slow-growing companies trying to copy Strategy Inc.’s Bitcoin strategy. They see it as one of the few ways to boost their value when other growth options are scarce.Source: X/Matthew Sigel, Head of Digital Asset Research at VanEck USBernstein’s bull case anticipates an additional $124 billion of Bitcoin purchases from Strategy alone, backed by the company’s recently upsized capital-raising plans, which aim to secure $84 billion by 2027, nearly double its previous target.Is Greg Abel pro-crypto? Whether Berkshire would buy Bitcoin under Abel’s leadership is speculative. The new Berkshire Hathaway leader has not publicly indicated a shift from Buffett’s value-investing philosophy, prioritizing assets with tangible cash flows over speculative ones like Bitcoin, which Buffett once termed “rat poison squared.”BTC’s price has climbed by nearly 900% since Buffett’s criticism in May 2018.BTC/USD two-week price chart. Source: TradingViewHowever, Berkshire, despite its anti-crypto stance, has indirect exposure in the sector through investments in crypto-friendly companies like Nu Holdings and Jefferies Financial Group, which holds shares in BlackRock’s iShares Bitcoin Trust (IBIT).The strategy is similar to how Berkshire approached gold, which Buffett repeatedly ridiculed for lacking productivity. However, Berkshire surprised markets by buying Barrick Gold shares (a gold mining company) in 2020, though it later sold that position.Under Abel, Berkshire may not dive straight into Bitcoin, but its cautious, indirect approach could expand as markets evolve. Whether that leads to full adoption or careful toe-dipping remains to be seen.This article does not contain investment advice or recommendations. Every investment and trading move involves risk, and readers should conduct their own research when making a decision.",Cointelegraph,https://cointelegraph.com/news/how-much-bitcoin-can-berkshire-hathaway-buy?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound
2025-05-06T11:15:00.000Z,"Crypto Daybook Americas: Bitcoin Threatened by Regulation Hiccup, Weakening Demand","",CoinDesk,https://www.coindesk.com/daybook-us/2025/05/06/crypto-daybook-americas-bitcoin-threatened-by-regulation-hiccup-weakening-demand
2025-05-06T10:45:00.000Z,"Citi, Switzerland’s SDX Join Forces to Tokenize $75B Pre-IPO Shares Market","",CoinDesk,https://www.coindesk.com/business/2025/05/06/citi-switzerland-s-sdx-join-forces-to-tokenize-usd75b-pre-ipo-shares-market
2025-05-06T10:27:31.000Z,"Crypto spending will grow, but fiat isn’t going anywhere: Mercuryo CEO","Petr Kozyakov, CEO of crypto payments platform Mercuryo, told Cointelegraph that the future of finance may not be a winner-takes-all scenario but a blend of digital assets and fiat, each used where it makes the most sense. In a Cointelegraph interview, Kozyakov said that while crypto payments are seeing an increase in adoption and demand, the asset class won’t be fully replacing fiat money anytime soon. He said the two asset classes will coexist, with people choosing the more convenient payment option in different situations. “We don’t think crypto will replace fiat,” Kozyakov told Cointelegraph. “They will coexist, and people will turn to crypto when it’s the easier, more practical option, whether that’s for payroll, yield or money transfers.”Mercuryo Petr Kozyakov at the Token2049 event in Dubai. Source: CointelegraphCrypto payroll gains momentum as payment options expandCrypto as a salary payment option is no longer a novelty. Kozyakov told Cointelegraph that more companies are settling employee salaries with crypto assets. “That is a growing trend,” Kozyakov said. “I see a lot of businesses that are starting to settle with their full-time employees and with their gig employees all over the world, in crypto.”As more employees receive crypto salaries, new challenges can emerge. According to Kozyakov, workers paid in crypto may ask what they can do next with their funds. “You won’t invest everything and just wait. You need to use it for everyday purchases,” Kozyakov told Cointelegraph. This is where practical spending options are needed. Kozyakov said that crypto earners are looking for ways to use their digital asset incomes in daily life scenarios, whether buying coffee, going out for drinks or settling utility bills. As crypto becomes an option for employee salaries, there has also been a growing acceptance of crypto in employee contracts in some jurisdictions. In August 2024, a Dubai court recognized crypto as a valid form of salary payment. Related: OKX exec warns against hype amid real-world asset tokenization boomCrypto, a powerful tool for moving and storing moneyThe executive also told Cointelegraph that Mercuryo views crypto as more than just a speculative asset but a powerful tool for moving and storing value. “Crypto is not only an asset; it’s the perfect rail to move money and store money. And it is essential to be able to spend it.”The executive said that in practice, spending crypto can still be complex. He said it takes a few steps, including moving it to an exchange, sending it to a bank account and answering “weird” questions from banks. Because of this, he highlighted a need for easier ways to spend crypto directly. The executive said that this is where their company comes in. On April 23, the payment services firm collaborated with the hardware wallet company Ledger on a crypto payment card that allows users to spend crypto where Mastercard payments are accepted. Kozyakov told Cointelegraph that seamless crypto payment options will drive wider crypto adoption, not just as an investment, but as a true medium of exchange for daily life.Magazine: Crypto wanted to overthrow banks, now it’s becoming them in stablecoin fight",Cointelegraph,https://cointelegraph.com/news/crypto-payments-mercuryo-ceo-token2049-interview?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound
2025-05-06T10:00:00.000Z,"Solana’s Natix and Grab Team Up to Expand DePIN Mapping Into US, Europe","",CoinDesk,https://www.coindesk.com/tech/2025/05/06/solanas-natix-and-grab-team-up-to-expand-depin-mapping-into-us-europe
