date	time	score	fng_class
2025-05-05 00:00:00	00:00	58.98	Neutral
2025-05-06 00:00:00	00:00	62.42	Greed
2025-05-07 00:00:00	00:00	62.07	Greed
2025-05-08 00:00:00	00:00	60.6	Greed
2025-05-09 00:00:00	00:00	58.89	Neutral
2025-05-10 00:00:00	00:00	62.83	Greed
2025-05-11 00:00:00	00:00	64.16	Greed
2025-05-12 00:00:00	00:00	64.35	Greed
2025-05-13 00:00:00	00:00	67.4	Greed
2025-05-14 00:00:00	00:00	64.48	Greed
2025-05-15 00:00:00	00:00	63.62	Greed
2025-05-16 00:00:00	00:00	67.6	Greed
2025-05-17 00:00:00	00:00	63.07	Greed
2025-05-18 00:00:00	00:00	64.98	Greed
2025-05-19 00:00:00	00:00	67.53	Greed
2025-05-20 00:00:00	00:00	61.26	Greed
2025-05-21 00:00:00	00:00	63.97	Greed
2025-05-22 00:00:00	00:00	70.2	Greed
2025-05-23 00:00:00	00:00	68.12	Greed
2025-05-24 00:00:00	00:00	67.44	Greed
2025-05-25 00:00:00	00:00	67.69	Greed
2025-05-26 00:00:00	00:00	66.7	Greed
2025-05-27 00:00:00	00:00	65.12	Greed
2025-05-28 00:00:00	00:00	66.65	Greed
2025-05-29 00:00:00	00:00	64.22	Greed
2025-05-30 00:00:00	00:00	64.9	Greed
2025-05-31 00:00:00	00:00	64.46	Greed
2025-06-01 00:00:00	01:00	62.68	Greed
2025-06-02 00:00:00	00:00	69.38	Greed
2025-06-03 00:00:00	00:00	63.92	Greed
2025-06-04 00:00:00	00:00	73.28	Greed
2025-06-05 00:00:00	00:00	55.91	Neutral
2025-06-06 00:00:00	00:00	62.47	Greed
2025-06-07 00:00:00	00:00	63.55	Greed
2025-06-08 00:00:00	00:00	63.86	Greed
2025-06-09 00:00:00	00:00	63.5	Greed
2025-06-10 00:00:00	00:00	63.01	Greed
2025-06-11 00:00:00	00:00	64.46	Greed
2025-06-12 00:00:00	00:00	67.84	Greed
2025-06-13 00:00:00	00:00	64.87	Greed
2025-06-14 00:00:00	00:00	63.74	Greed
2025-06-15 00:00:00	00:00	65.56	Greed
2025-06-16 00:00:00	00:00	66.88	Greed
2025-06-17 00:00:00	00:00	66.48	Greed
2025-06-18 00:00:00	00:00	64.47	Greed
2025-06-19 00:00:00	00:00	60.92	Greed
2025-06-20 00:00:00	00:00	64.08	Greed
2025-06-21 00:00:00	00:00	63.65	Greed
2025-06-22 00:00:00	00:00	57.53	Neutral
2025-06-23 00:00:00	00:00	56.42	Neutral
2025-06-24 00:00:00	00:00	60.87	Greed
2025-06-25 00:00:00	00:00	65.6	Greed
2025-06-26 00:00:00	00:00	61.3	Greed
2025-06-27 00:00:00	00:00	61.93	Greed
2025-06-28 00:00:00	00:00	62.4	Greed
2025-06-29 00:00:00	17:00	63.88	Greed
2025-06-30 00:00:00	00:00	65.42	Greed
2025-07-01 00:00:00	00:00	64.52	Greed
2025-07-01 01:00:00	01:00	57.3	Greed
2025-07-01 02:00:00	02:00	57.59	Greed
2025-07-01 03:00:00	03:00	57.55	Greed
2025-07-01 04:00:00	04:00	58.6	Greed
2025-07-01 05:00:00	05:00	58.51	Greed
2025-07-01 06:00:00	06:00	59.1	Greed
2025-07-01 07:00:00	07:00	58.77	Greed
2025-07-01 08:00:00	08:00	57.3	Greed
2025-07-01 09:00:00	09:00	56.69	Greed
2025-07-01 10:00:00	10:00	53.96	Greed
2025-07-01 11:00:00	11:00	51.67	Greed
2025-07-01 12:00:00	12:00	48.52	Fear
2025-07-01 13:00:00	13:00	54.32	Greed
2025-07-01 14:00:00	14:00	54.86	Greed
2025-07-01 15:00:00	15:00	54.56	Greed
2025-07-01 16:00:00	16:00	56.37	Greed
2025-07-01 17:00:00	17:00	59.66	Greed
2025-07-01 18:00:00	18:00	60.22	Greed
2025-07-01 19:00:00	19:00	59.07	Greed
2025-07-01 20:00:00	20:00	55.73	Greed
2025-07-01 21:00:00	21:00	54.58	Greed
2025-07-01 22:00:00	22:00	57.82	Greed
2025-07-01 23:00:00	23:00	59.21	Greed
2025-07-02 00:00:00	00:00	59.66	Greed
2025-07-02 01:00:00	01:00	60.81	Greed
2025-07-02 02:00:00	02:00	59.8	Greed
2025-07-02 03:00:00	03:00	61.59	Greed
2025-07-02 04:00:00	04:00	60.97	Greed
2025-07-02 05:00:00	05:00	59.17	Greed
2025-07-02 06:00:00	06:00	56.8	Greed
2025-07-02 07:00:00	07:00	56.87	Greed
2025-07-02 08:00:00	08:00	55.45	Greed
2025-07-02 09:00:00	09:00	54.57	Greed
2025-07-02 10:00:00	10:00	52.65	Greed
2025-07-02 11:00:00	11:00	56.6	Greed
2025-07-02 12:00:00	12:00	55.55	Greed
2025-07-02 13:00:00	13:00	54.78	Greed
2025-07-02 14:00:00	14:00	54.88	Greed
2025-07-02 15:00:00	15:00	57.53	Greed
2025-07-02 16:00:00	16:00	58.64	Greed
2025-07-02 17:00:00	17:00	59.68	Greed
2025-07-02 18:00:00	18:00	59.45	Greed
2025-07-02 19:00:00	19:00	58.51	Greed
2025-07-02 20:00:00	20:00	56.68	Greed
2025-07-02 21:00:00	21:00	57.93	Greed
2025-07-02 22:00:00	22:00	57.02	Greed
2025-07-02 23:00:00	23:00	58.57	Greed
2025-07-03 00:00:00	00:00	57.94	Greed
2025-07-03 01:00:00	01:00	58.08	Greed
2025-07-03 02:00:00	02:00	57.33	Greed
2025-07-03 03:00:00	03:00	58.0	Greed
2025-07-03 04:00:00	04:00	58.15	Greed
2025-07-03 05:00:00	05:00	58.41	Greed
2025-07-03 06:00:00	06:00	57.77	Greed
2025-07-03 07:00:00	07:00	60.31	Greed
2025-07-03 08:00:00	08:00	60.31	Greed
2025-07-03 09:00:00	09:00	59.74	Greed
2025-07-03 10:00:00	10:00	57.91	Greed
2025-07-03 11:00:00	11:00	58.24	Greed
2025-07-03 12:00:00	12:00	55.48	Greed
2025-07-03 13:00:00	13:00	56.24	Greed
2025-07-03 14:00:00	14:00	56.92	Greed
2025-07-03 15:00:00	15:00	59.79	Greed
2025-07-03 16:00:00	16:00	56.94	Greed
2025-07-03 17:00:00	17:00	57.5	Greed
2025-07-03 18:00:00	18:00	58.11	Greed
2025-07-03 19:00:00	19:00	57.25	Greed
2025-07-03 20:00:00	20:00	56.62	Greed
2025-07-03 21:00:00	21:00	57.68	Greed
2025-07-03 22:00:00	22:00	57.33	Greed
2025-07-03 23:00:00	23:00	50.0	Neutral
2025-07-04 00:00:00	00:00	50.0	Neutral
2025-07-04 01:00:00	01:00	50.0	Neutral
2025-07-04 02:00:00	02:00	50.0	Neutral
2025-07-04 03:00:00	03:00	50.0	Neutral
2025-07-04 04:00:00	04:00	59.75	Greed
2025-07-04 05:00:00	05:00	60.49	Greed
2025-07-04 06:00:00	06:00	58.94	Greed
2025-07-04 07:00:00	07:00	57.57	Greed
2025-07-04 08:00:00	08:00	56.44	Greed
2025-07-04 09:00:00	09:00	54.29	Greed
2025-07-04 10:00:00	10:00	54.92	Greed
2025-07-04 11:00:00	11:00	54.79	Greed
2025-07-04 12:00:00	12:00	55.14	Greed
2025-07-04 13:00:00	13:00	56.72	Greed
2025-07-04 14:00:00	14:00	58.57	Greed
2025-07-04 15:00:00	15:00	56.38	Greed
2025-07-04 16:00:00	16:00	54.32	Greed
2025-07-04 17:00:00	17:00	54.11	Greed
