ANALYSIS_DATE,DAILY_FEAR_GREED_SCORE,FEAR_GREED_CATEGORY,TOTAL_ARTICLES,HOURLY_SCORES,PROCESSING_TIMESTAMP
2025-05-02,69,Greed,25,"[
  83,
  64,
  69,
  65,
  64,
  71,
  63,
  61,
  79,
  73,
  78,
  55
]",2025-07-16 16:46:22.759
2025-05-03,60,Neutral,16,"[
  34,
  26,
  73,
  90,
  70,
  74,
  58,
  59,
  56,
  71,
  44
]",2025-07-16 16:46:22.759
2025-05-04,60,Neutral,12,"[
  50,
  63,
  71,
  77,
  48,
  74,
  61,
  53,
  33,
  74
]",2025-07-16 16:46:22.759
2025-05-05,63,Greed,43,"[
  53,
  69,
  69,
  62,
  63,
  61,
  54,
  73,
  62,
  61,
  52,
  53,
  87,
  69,
  24,
  71,
  67,
  64,
  59,
  72,
  71
]",2025-07-16 16:46:22.759
2025-05-06,62,Greed,44,"[
  45,
  46,
  58,
  64,
  37,
  70,
  59,
  77,
  66,
  55,
  66,
  64,
  54,
  69,
  79,
  65,
  71,
  54,
  70,
  71,
  74,
  44
]",2025-07-16 16:46:22.759
2025-05-07,63,Greed,45,"[
  55,
  72,
  68,
  68,
  76,
  15,
  64,
  65,
  67,
  54,
  72,
  79,
  57,
  71,
  69,
  47,
  57,
  52,
  76,
  74,
  65
]",2025-07-16 16:46:22.759
2025-05-08,68,Greed,43,"[
  56,
  72,
  86,
  64,
  73,
  66,
  77,
  72,
  57,
  45,
  69,
  70,
  71,
  63,
  71,
  68,
  69,
  68
]",2025-07-16 16:46:22.759
2025-05-09,65,Greed,40,"[
  70,
  61,
  73,
  46,
  70,
  57,
  63,
  64,
  71,
  50,
  76,
  77,
  60,
  72,
  67,
  79,
  70,
  52,
  51
]",2025-07-16 16:46:22.759
2025-05-10,65,Greed,13,"[
  66,
  59,
  76,
  64,
  74,
  68,
  50,
  72,
  70,
  58,
  61,
  75,
  48
]",2025-07-16 16:46:22.759
2025-05-11,60,Neutral,16,"[
  72,
  63,
  44,
  81,
  71,
  58,
  54,
  66,
  68,
  26,
  70,
  45
]",2025-07-16 16:46:22.759
2025-05-12,68,Greed,43,"[
  66,
  78,
  77,
  72,
  66,
  72,
  69,
  74,
  72,
  82,
  62,
  68,
  29,
  65,
  64,
  49,
  65,
  82,
  86,
  64
]",2025-07-16 16:46:22.759
2025-05-13,67,Greed,40,"[
  63,
  78,
  84,
  79,
  71,
  83,
  77,
  75,
  81,
  52,
  75,
  67,
  54,
  67,
  71,
  55,
  68,
  57,
  39,
  49
]",2025-07-16 16:46:22.759
2025-05-14,65,Greed,44,"[
  67,
  67,
  70,
  69,
  67,
  66,
  39,
  80,
  74,
  55,
  76,
  82,
  46,
  67,
  57,
  71,
  70,
  66,
  58,
  67,
  55,
  52
]",2025-07-16 16:46:22.759
2025-05-15,60,Neutral,65,"[
  73,
  62,
  74,
  64,
  60,
  78,
  80,
  58,
  47,
  72,
  58,
  62,
  72,
  54,
  54,
  38,
  70,
  40,
  45,
  46,
  50
]",2025-07-16 16:46:22.759
2025-05-16,65,Greed,53,"[
  68,
  67,
  75,
  60,
  50,
  45,
  74,
  74,
  75,
  67,
  73,
  54,
  70,
  78,
  46,
  62,
  69,
  68,
  60
]",2025-07-16 16:46:22.759
2025-05-17,66,Greed,14,"[
  61,
  68,
  68,
  40,
  78,
  76,
  70,
  79,
  50,
  64,
  68
]",2025-07-16 16:46:22.759
2025-05-18,64,Greed,162,"[
  63,
  66,
  35,
  76,
  55,
  64,
  69,
  66,
  71,
  65,
  68,
  69,
  60,
  67,
  61,
  66,
  73,
  53
]",2025-07-16 16:46:22.759
